Name,Occurrence,Ambig 3,Ambig 2,Ambig 1,Ambig 0
yong liu,95,16.5332268378736,15.0946541418314,12.3373371210304,9.36
qiang wang,41,16.5252251779504,14.6313712819665,11.3324889614026,8.7
wei xu,41,16.5093636742547,14.918503917181,12.325491741175,10.8
yang liu,58,16.5,16.5,16.5,16.5
jie yang,131,16.5,16.5,16.5,16.5
jian liu,46,16.4158062628347,15.1377261738098,12.8616900660803,11.34
bin li,44,16.1179529770548,14.7423283702751,14.04,14.04
xin li,117,16.0135447861503,14.8008530421256,12.5607334454368,9.9
bo li,88,15.9820975344466,14.6388562184617,12.0879809411269,11.16
feng chen,24,15.9719066099891,14.5746182091263,11.6541378110248,4.86
yan chen,45,15.9585033712757,14.5340390884243,12.96,12.96
yu chen,75,15.8531794125628,14.88,14.88,14.88
gang wang,33,15.8479437513462,14.6573494985395,12.5337854933526,9.18
tao chen,25,15.8272310924426,14.5463788659378,11.9460295812865,5.7
ying liu,66,15.78,15.78,15.78,15.78
ming zhang,77,15.5296553379643,14.3638602759038,12.48,12.48
bin zhang,56,15.4618521628536,14.0927916868023,11.6657314415041,10.32
yi liu,51,15.4357296814594,13.8050278026879,11.88,11.88
xin zhang,48,15.3616940339241,14.1487378025184,12.159078133985,9.18
bo zhang,79,15.3315268807215,13.9938784456734,11.7014428642842,10.26
jing liu,43,15.13772465206,13.6694307903267,11.6227987840259,10.26
lei liu,21,14.8017229272652,13.5502982888217,11.277886293532,6.48
hui chen,28,14.5780475121115,13.5129219947402,11.0488212710557,5.46
yang li,36,14.5576991298433,13.7723597951139,11.6480205180408,8.4
min li,24,14.4166038250797,13.3658274277472,10.9511887920348,5.94
ping wang,27,14.3999834833759,13.0508265816852,11.129431096002,10.32
ming chen,34,14.2358808650318,13.1986865829004,10.6935267802043,7.32
jun yang,102,14.2247633578278,13.0558023594213,12.72,12.72
bin chen,15,14.173726367579,12.9496066502571,10.5511697283144,5.4
qiang li,45,14.1197983841134,12.6616738997599,9.98928774280307,6.36
feng liu,36,14.0854984085639,12.9040557794453,10.4677180136804,10.26
xin chen,79,14.0819124051906,14.04,14.04,14.04
yan liu,56,14.0736781981046,12.8681278923813,12.18,12.18
jun wu,26,14.0597758258702,12.8663396329568,10.8594326993906,8.64
bo chen,36,14.0542584753587,12.8587170952571,10.5834692274827,6.84
tao yang,96,14.04,14.04,14.04,14.04
qing wang,52,14.0056759535574,12.6975459857055,10.3978027565434,8.64
yu liu,30,13.9807938300037,12.8997187552599,10.5869868188044,6.48
yang zhang,18,13.965110339841,13.1655592490787,11.2755510814992,4.86
hao wang,59,13.9646375617927,12.6183452781363,9.91573408372209,1.02
tao liu,18,13.9579102112422,12.879053267925,10.7298944862053,5.94
jun xu,78,13.86,13.86,13.86,13.86
lin wang,21,13.8574412292319,12.5729741658546,10.1575434501533,6
min zhang,40,13.8297584904944,12.7769384136622,10.6010019845414,7.86
wen gao,233,13.8,13.8,13.8,13.8
wei sun,83,13.56,13.56,13.56,13.56
qiang zhang,24,13.5450348747918,12.1038093979322,9.66985970168216,3.6
gang li,48,13.5411026574303,12.6841548894365,11.0481986989886,10.8
bo yang,60,13.5,13.5,13.5,13.5
wei zhou,11,13.189401276823,12.0061927359355,10.0012822846567,4.32
wei lin,33,13.1197939914347,11.9853758487325,10.8,10.8
jin wang,50,13.04031528482,11.8785633176541,9.97153624520623,7.74
gang zhang,5,12.9898956591614,12.1252998909173,10.6949098000003,2.16
yong he,54,12.96,12.96,12.96,12.96
bin liu,61,12.96,12.96,12.96,12.96
li yang,50,12.8749149916486,11.9464554293359,10.1086411954513,5.04
hui liu,31,12.8562650687797,11.9640526195214,9.92402418131307,6.78
yang chen,13,12.8016779985448,12.0975898455864,10.1982677929569,2.76
li wu,3,12.7255838291399,11.7730912840373,9.82552620291984,1
min chen,54,12.6776023020643,11.740493319463,10.56,10.56
ming liu,23,12.5545110026816,11.6858352951239,9.60489954057574,4.92
peng wang,42,12.5157522206726,11.6137815380589,9.98238666549481,8.1
hua li,51,12.48,12.48,12.48,12.48
fang liu,48,12.42,12.42,12.42,12.42
xin liu,47,12.4187274328786,11.5108206581131,10.02,10.02
qiang chen,14,12.4165989903748,11.1219674679284,8.74598660812998,4.32
bo liu,29,12.394339650371,11.3848335694587,9.50604611650896,9.18
ping li,27,12.3039088018678,11.2939045230357,9.81029763278977,9.78
wei zhao,153,12.1751855181456,11.0423995375593,10.98,10.98
yuan wang,22,12.0919292861966,11.0636965517382,9.1980562846345,7.02
wei yu,34,12.0440315450796,10.926614438543,8.96922677202383,7.38
hao li,45,11.9319322282413,10.9196445081847,8.74045598286297,3.36
gang chen,53,11.9077083830024,11.1417146860142,9.67310186203515,9.3
xiang li,39,11.88,11.88,11.88,11.88
jian xu,46,11.88,11.88,11.88,11.88
lin li,18,11.8403394912603,10.880381323818,8.95360451081774,4.32
hua wang,43,11.8074443898426,11.1057411975305,10.26,10.26
ping zhang,68,11.8030632792227,10.7963029839096,9.49659316893419,8.22
tong zhang,75,11.76,11.76,11.76,11.76
qiang yang,125,11.7,11.7,11.7,11.7
jun huang,12,11.5143265443803,10.5754008393632,9.07075340679643,3.24
qing zhang,24,11.4798659136635,10.5040514296758,8.87230459292626,6.48
hao zhang,25,11.4462284629376,10.4385326037145,10.26,10.26
hong yang,2,11.3921304800856,10.595583369015,8.64096316811616,1.08
ling wang,37,11.3809502119758,10.5646806112578,8.844642595235,4.62
lin zhang,22,11.3583641193447,10.400999327807,9.18,9.18
qi wang,37,11.34,11.34,11.34,11.34
ling zhang,52,11.34,11.34,11.34,11.34
hong wu,10,11.2599975619929,10.4418227606425,8.39895376492293,3.24
min liu,11,11.1802774340323,10.394782113585,8.61206732494849,4.86
jian yang,85,11.16,11.16,11.16,11.16
jin li,62,11.1421551418622,10.279453116685,8.78964410469869,6.36
ning wang,19,11.0004571869457,10.2875238878056,8.42147620398033,3.78
qiang liu,12,10.9501006729728,9.84715253079197,7.85562373208964,4.86
ping chen,37,10.8197509235561,9.92052391220358,8.64,8.64
rui zhang,52,10.8,10.8,10.8,10.8
yang yang,45,10.8,10.8,10.8,10.8
peng li,62,10.6939479540172,10.0503166616512,9.24,9.24
jin zhang,24,10.6886002102317,9.82654759744638,8.50857713868435,6
wei zhu,11,10.57804988048,9.65817040289922,7.98451078772649,4.32
ning zhang,62,10.56,10.56,10.56,10.56
wei lu,39,10.5369793755424,10.02,10.02,10.02
qing chen,13,10.5234791073526,9.65197934315291,8.0246311267044,5.4
gang liu,24,10.5013140618744,9.86463629606197,8.68835638047829,7.56
hong shen,177,10.5,10.5,10.5,10.5
hao chen,58,10.4926439902353,9.59177530102684,7.65258874739536,5.88
bing wang,38,10.4240998370892,9.36050539893496,7.50074053949214,1.56
li huang,6,10.4216830688716,9.67681275319285,8.20714375657069,1.08
lin chen,50,10.4120996188084,9.55728666526901,7.83920807592336,5.46
yong yang,17,10.3694742456516,9.6448775514387,8.06695984196356,3.78
li xu,34,10.3460575507066,9.55127839910095,8.12364522088984,5.94
yuan li,17,10.3318170710233,9.57428495008285,8.10784208258698,7.56
peng zhang,30,10.2586378392871,9.60750673446072,8.51783565570142,8.1
zheng wang,30,10.2493585450151,9.5804816770024,8.19361737792012,7.08
yong wu,13,10.2492027219397,9.50491336180059,7.84102667931092,3.24
zhen liu,101,10.2,10.2,10.2,10.2
jian wu,19,10.176411893561,9.53203527717698,8.17428055664098,4.62
ling li,30,10.02,10.02,10.02,10.02
yuan zhang,16,9.91124793286254,9.15244864736969,7.84857713989631,5.4
fei wang,24,9.8490900901209,9.07876518435847,7.71929900530499,7.02
jin chen,23,9.79813369295029,9.02943355333402,7.69565474628644,7.56
ling guan,70,9.78,9.78,9.78,9.78
ying yang,22,9.74569770633362,9.08149321635005,7.89131622930976,4.86
hong jiang,76,9.72,9.72,9.72,9.72
yao wang,67,9.72,9.72,9.72,9.72
