1.1	0.02	0.01	0.005	0.002	
Hui Fang	1.1	0	NaN	0	|	0.02	0.5859375	1	0.5859375	|	0.01	0.73828125	1	0.73828125	|	0.005	0.83203125	1	0.83203125	|	0.002	0.747572815533981	0.813380281690141	0.90234375	|	
Ajay Gupta	1.1	0	NaN	0	|	0.02	0.582278481012658	0.978723404255319	0.58974358974359	|	0.01	0.51685393258427	0.807017543859649	0.58974358974359	|	0.005	0.51685393258427	0.807017543859649	0.58974358974359	|	0.002	0.403508771929825	0.560975609756098	0.58974358974359	|	
Rakesh Kumar	1.1	0	NaN	0	|	0.02	0.741076185402238	0.998564249820531	0.741866666666667	|	0.01	0.743889479277364	0.995024875621891	0.746666666666667	|	0.005	0.864637985309549	0.981536628945801	0.878933333333333	|	0.002	0.906610703043022	0.982376350198977	0.9216	|	
Bing Liu	1.1	0	NaN	0	|	0.02	0.0934568748570121	0.969157769869514	0.093735658558972	|	0.01	0.11001013399392	0.855516637478109	0.112092703074805	|	0.005	0.190737218928292	0.884336099585062	0.195617255621845	|	0.002	0.579130753713552	0.742534681401364	0.724644332262506	|	
Jim Smith	1.1	0	NaN	0	|	0.02	0.602739726027397	1	0.602739726027397	|	0.01	0.602739726027397	1	0.602739726027397	|	0.005	0.744897959183674	0.990950226244344	0.75	|	0.002	0.822950819672131	0.950757575757576	0.85958904109589	|	
Michael Wagner	1.1	0	NaN	0	|	0.02	0.537162162162162	0.99375	0.538983050847458	|	0.01	0.595541401273885	0.907766990291262	0.633898305084746	|	0.005	0.741025641025641	0.752604166666667	0.979661016949153	|	0.002	0.72979797979798	0.741025641025641	0.979661016949153	|	
Lei Wang	1.1	0	NaN	0	|	0.02	0.454680534918276	0.922613065326633	0.472708547888774	|	0.01	0.483185840707965	0.774468085106383	0.562306900102987	|	0.005	0.410553892215569	0.600437876299945	0.564881565396498	|	0.002	0.271521581866409	0.338036625637947	0.579814624098867	|	
Wei Wang	1.1	0	NaN	0	|	0.02	0.34230304657093	0.898537960190241	0.356065894178417	|	0.01	0.414543194530764	0.790846573393408	0.465587044534413	|	0.005	0.442436808846761	0.601799623959173	0.625575876029597	|	0.002	0.273865843334495	0.298601873218406	0.767764902973614	|	
Bin Yu	1.1	0	NaN	0	|	0.02	0.275700934579439	0.983333333333333	0.276995305164319	|	0.01	0.400885935769657	0.876513317191283	0.424882629107981	|	0.005	0.426842684268427	0.871910112359551	0.455399061032864	|	0.002	0.405014464802314	0.694214876033058	0.492957746478873	|	
Joseph Hellerstein	1.1	0	NaN	0	|	0.02	0.0908772421524664	0.976656626506024	0.0910750649533038	|	0.01	0.163986013986014	0.975457570715474	0.164665402710484	|	0.005	0.446056085094626	0.964600448095594	0.453479390492241	|	0.002	0.616027164685908	0.949345892203035	0.636963696369637	|	
Liping Wang	1.1	0	NaN	0	|	0.02	0.614035087719298	0.990566037735849	0.617647058823529	|	0.01	0.847953216374269	0.993150684931507	0.852941176470588	|	0.005	0.898305084745763	0.957831325301205	0.935294117647059	|	0.002	0.850267379679144	0.903409090909091	0.935294117647059	|	
David Brown	1.1	0	NaN	0	|	0.02	0.972826086956522	1	0.972826086956522	|	0.01	0.952127659574468	0.978142076502732	0.972826086956522	|	0.005	0.917948717948718	0.942105263157895	0.972826086956522	|	0.002	0.792035398230089	0.809954751131222	0.972826086956522	|	
David Jensen	1.1	0	NaN	0	|	0.02	0.19047619047619	1	0.19047619047619	|	0.01	0.243197278911565	1	0.243197278911565	|	0.005	0.450680272108844	1	0.450680272108844	|	0.002	0.65625	0.952267303102625	0.678571428571429	|	
Gang Wu	1.1	0	NaN	0	|	0.02	0.72354211663067	0.856777493606138	0.823095823095823	|	0.01	0.57672849915683	0.647727272727273	0.84029484029484	|	0.005	0.553945249597424	0.616487455197133	0.845208845208845	|	0.002	0.503660322108346	0.554838709677419	0.845208845208845	|	
Xiaodong Wang	1.1	0	NaN	0	|	0.02	0.142084726867336	0.972900763358779	0.142649280877497	|	0.01	0.38870792616721	0.928543638957334	0.400693939224355	|	0.005	0.599669192188667	0.927922721268164	0.628966366332755	|	0.002	0.675888256034717	0.687204538291837	0.976215792713638	|	
Tao Peng	1.1	0	NaN	0	|	0.02	0.846153846153846	0.996062992125984	0.848993288590604	|	0.01	0.973421926910299	0.989864864864865	0.983221476510067	|	0.005	0.951612903225806	0.960912052117264	0.98993288590604	|	0.002	0.784574468085106	0.790884718498659	0.98993288590604	|	
Peng Cheng	1.1	0	NaN	0	|	0.02	0.89247311827957	0.932584269662921	0.954022988505747	|	0.01	0.731277533039648	0.757990867579909	0.954022988505747	|	0.005	0.731277533039648	0.757990867579909	0.954022988505747	|	0.002	0.446753246753247	0.449086161879896	0.988505747126437	|	
Wen Gao	1.1	0	NaN	0	|	0.02	0.141667586620196	0.999833045801102	0.141670937980523	|	0.01	0.33203494606699	0.999786319713194	0.332058510428577	|	0.005	0.687815338042381	0.999621910839702	0.687994322438197	|	0.002	0.815719890489599	0.986864578713446	0.824673737333912	|	
Average accuracy/precision/recall
1.1	0	NaN	0
0.02	0.490526191521456	0.970558945088465	0.502290703296407
0.01	0.545298105241806	0.904323184385237	0.590006695241963
0.005	0.633740430464114	0.867670240082059	0.710569345761285
0.002	0.626730547764437	0.733653292173691	0.814795074524223
